GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VotingApp,org.example.project,VotingApp,112,385,13,23,26,94,15,20,4,10
VotingApp,org.example.project.observer,LoggingVoteListener,0,20,0,0,0,4,0,2,0,2
VotingApp,org.example.project.observer,AuditVoteListener,33,62,1,1,6,11,3,4,2,4
VotingApp,org.example.project.factory,RepositoryFactory,30,63,8,10,6,10,9,4,1,3
VotingApp,org.example.project.strategy,RankedChoiceCountingStrategy,0,45,0,2,0,10,0,4,0,3
VotingApp,org.example.project.strategy,PluralityCountingStrategy,0,30,0,2,0,7,0,4,0,3
VotingApp,org.example.project.service,VoteService,49,246,17,27,10,62,17,20,0,15
VotingApp,org.example.project.model,Candidate,4,60,2,10,0,16,2,10,0,6
VotingApp,org.example.project.model,Vote,21,73,4,12,2,20,5,10,1,6
VotingApp,org.example.project.model,Voter,10,60,4,8,1,17,5,8,1,6
VotingApp,org.example.project.repo,InMemoryVoteRepository,7,53,2,2,2,14,2,6,0,6
VotingApp,org.example.project.repo,InMemoryCandidateRepository,9,45,3,3,3,13,3,6,0,6
VotingApp,org.example.project.repo,InMemoryVoterRepository,9,45,3,3,3,13,3,6,0,6
